lines which do not contain the letter " e " .	~ ( . * e . * )
lines that contain only the letters " agde " .	agde
lines using words ending in " er " .	. * \\b [A-Za-z] * er \\b . *
lines which contain only lowercase letters.	[a-z] *
lines that contain the word " dance "	. * \\b dance \\b . *
lines with words that contain 3 vowels.	. * ( ( \\b [A-Za-z] + \\b ) & ( . * [AEIOUaeiou] . * ) { 3 } ) . *
lines which have ' bar '	. * bar . *
lines using a word that ends in " spoon "	. * ( ( \\b [A-Za-z] + \\b ) & ( . * spoon ) ) . *
lines that include three capital letters	( . * [A-Z] . * ) { 3 }
lines using words that begin with “z”.	. * \\b z [A-Za-z] * \\b . *
lines that have at least 5 numbers.	( . * [0-9] . * ) { 5 , }
lines that ends with letter ' f '	. * f
lines using a word that contains the letters ' der '	. * \\b [A-Za-z] * der [A-Za-z] * \\b . *
lines using only three words	( ( [^A-Za-z] ) * \\b [A-Za-z] + \\b ( [^A-Za-z] ) * ) { 3 }
lines starting with ' uu ' followed by words starting with ' z ' .	uu . * \\b z [A-Za-z] * \\b . *
lines that have 2 words using 4 letters	( . * \\b [A-Za-z] { 4 } \\b . * ) { 2 }
lines that have words ending in ' ing '	. * \\b [A-Za-z] * ing \\b . *
lines which contain the word " black " and the letter " z " .	( . * \\b black \\b . * ) & ( . * z . * )
lines that contain the number " 254 " at least twice.	( . * 254 . * ) { 2 }
lines containing the word ' art '	. * \\b art \\b . *
lines with a word ending in " aought " that contain only one word	( [^A-Za-z] ) * \\b [A-Za-z] * aought \\b ( [^A-Za-z] ) *
lines which contain only an uppercase letter	[A-Z]
lines that contain at least one numeric in it.	. * [0-9] . *
lines that end in an ' o '	. * o
lines that have all the letters ' a ' , ' b ' and ' c '	( . * a . * ) & ( . * b . * ) & ( . * c . * )
lines having words ending with ' ne ' .	. * \\b [A-Za-z] * ne \\b . *
lines that contain “World War II” and contain “casualties”.	( . * World _ War _ II . * ) & ( . * casualties . * )
lines that contain the numbers " 9 " , and " 10 "	. * ( 9 . * 10 | 10 . * 9 ) . *
lines with the word ' Triple ' followed by words that start with ' X '	. * \\b Triple \\b . * \\b X [A-Za-z] * \\b . *
lines using ' su ' after ' son ' or ' soon ' .	. * ( son | soon ) . * su . *
lines that utilize words starting with ' do ' .	. * ( ( [A-Za-z] + ) & ( \\b do . * \\b ) ) . *
lines using ' q ' before ' r '	. * q . * r . *
lines containing a word using the letters ' tt ' .	. * \\b [A-Za-z] * tt [A-Za-z] * \\b . *
lines using more than 1 character	. * . { 2 , } . *
lines that contain words with ' ru ' .	. * \\b [A-Za-z] * ru [A-Za-z] * \\b . *
lines containing a word using " ause "	. * \\b [A-Za-z] * ause [A-Za-z] * \\b . *
lines containing instances of " JFK " found after " ABC "	. * ABC . * JFK . *
lines that contain at least three words and at least one number.	( . * \\b [A-Za-z] [A-Za-z] * \\b . * ) { 3 } & ( . * [0-9] . * )
lines that contain numbers	. * [0-9] . *
lines using the word ' going ' followed by ' d ' .	. * \\b going \\b . * d . *
lines that have ' sandwich ' but not the word ' ham '	( . * sandwich . * ) & ( ~ ( . * \\b ham \\b . * ) )
lines containing words starting with " t " .	. * ( ( \\b t . * \\b ) & ( [A-Za-z] + ) ) . *
lines that contain words ending in ' g '	. * ( ( \\b [A-Za-z] [A-Za-z] * \\b ) & ( . * g ) ) . *
lines that contain words ending with vowels.	. * \\b [A-Za-z] * [AEIOUaeiou] \\b . *
lines that use words starting with ' s ' .	. * \\b s [A-Za-z] * \\b . *
lines using 2 words or more	( . * \\b [A-Za-z] + \\b . * ) { 2 , }
lines using the word " piggy " and " his mother " .	. * ( . * \\b piggy \\b . * ) & ( . * his _ mother . * )
lines that have 5 characters and no vowels.	( . { 5 } ) & ( ~ ( . * [AEIOUaeiou] . * ) )
lines that contain at least one vowel and at least two numbers.	( . * [AEIOUaeiou] . * ) & ( . * [0-9] . * ) { 2 }
lines using at least 3 characters	. * . { 3 } . *
lines that contain the phrase " city of " .	. * ( . * \\b city _ of \\b . * ) . *
lines that contain between two to seven words.	( [^A-Za-z] * \\b [A-Za-z] [A-Za-z] * \\b [^A-Za-z] * ) { 2 , 7 }
lines that use words starting with ' ga ' .	. * \\b ga [A-Za-z] * \\b . *
lines any words beginning with the letter ' k ' .	. * ( ( \\b [A-Za-z] + \\b ) & ( k . * ) ) . *
lines containing any number with an ' 8 ' in it.	. * 8 . *
lines which contain only the number " 3 " .	3
lines that contain words starting with ' pa ' .	. * \\b pa [A-Za-z] * \\b . *
lines that contain only three words.	( ( [^A-Za-z] ) * \\b [A-Za-z] + \\b ( [^A-Za-z] ) * ) { 3 }
lines that mention ' Dylan ' in the same line as ' Lynda ' .	( . * Dylan . * Lynda . * ) | ( . * Lynda . * Dylan . * )
lines containing ' foo ' or ' nu ' before ' dist ' or ' dust '	. * ( foo | nu ) . * ( dist | dust ) . *
lines where the number ' 0 ' appears	. * 0 . *
lines that feature ' email ' followed by the word " spam " .	. * email . * \\b spam \\b . *
lines that have within them words ending in ' ch ' .	. * \\b [A-Za-z] * ch \\b . *
lines using the word " clue "	. * \\b clue \\b . *
lines that contain ' news ' before ' paper ' or ' show ' .	. * news . * ( paper | show ) . *
lines that do not contain the word " foo "	~ ( . * \\b foo \\b . * )
lines using ' min ' before ' imal '	. * min . * imal . *
lines that include the string ' rst '	. * rst . *
lines that contain at least two words starting with " h " in them.	( . * \\b h [A-Za-z] * \\b . * ) { 2 }
lines using the word ' An ' at least once.	. * \\b An \\b . *
lines that begin with a number	[0-9] . *
