what is the highest point in florida ?	answer ( A , highest ( A , ( place ( A ) , loc ( A , B ) , const ( B , stateid ( florida ) ) ) ) )
what are the high points of states surrounding mississippi ?	answer ( A , ( high_point ( B , A ) , loc ( A , B ) , state ( B ) , next_to ( B , C ) , const ( C , stateid ( mississippi ) ) ) )
what state has the shortest river ?	answer ( A , ( state ( A ) , loc ( B , A ) , shortest ( B , river ( B ) ) ) )
what is the tallest mountain in the united states ?	answer ( A , highest ( A , ( mountain ( A ) , loc ( A , B ) , const ( B , countryid ( usa ) ) ) ) )
what is the capital of maine ?	answer ( A , ( capital ( A ) , loc ( A , B ) , const ( B , stateid ( maine ) ) ) )
what are the populations of states through which the mississippi river run ?	answer ( A , ( population ( B , A ) , state ( B ) , const ( C , riverid ( mississippi ) ) , river ( C ) , traverse ( C , B ) ) )
name all the lakes of us ?	answer ( A , ( lake ( A ) , loc ( A , B ) , const ( B , countryid ( usa ) ) ) )
which states border states through which the mississippi traverses ?	answer ( A , ( state ( A ) , next_to ( A , B ) , state ( B ) , const ( C , riverid ( mississippi ) ) , traverse ( C , B ) ) )
what is the highest mountain in alaska ?	answer ( A , highest ( A , ( mountain ( A ) , loc ( A , B ) , const ( B , stateid ( alaska ) ) ) ) )
what is the population of illinois ?	answer ( A , ( population ( B , A ) , const ( B , stateid ( illinois ) ) ) )
name all the rivers in colorado ?	answer ( A , ( river ( A ) , loc ( A , B ) , const ( B , stateid ( colorado ) ) ) )
in which state does the highest point in usa exist ?	answer ( A , ( loc ( B , A ) , state ( A ) , highest ( B , ( place ( B ) , loc ( B , C ) , const ( C , countryid ( usa ) ) ) ) ) )
which state is the city denver located in ?	answer ( A , ( state ( A ) , city ( B ) , const ( B , cityid ( denver , _ ) ) , loc ( B , A ) ) )
what is the lowest point in texas ?	answer ( A , lowest ( A , ( place ( A ) , loc ( A , B ) , const ( B , stateid ( texas ) ) ) ) )
how many states have a city called rochester ?	answer ( A , count ( B , ( state ( B ) , loc ( C , B ) , const ( C , cityid ( rochester , _ ) ) ) , A ) )
which capitals are in the states that border texas ?	answer ( A , ( capital ( A ) , loc ( A , B ) , state ( B ) , next_to ( B , C ) , const ( C , stateid ( texas ) ) ) )
how many people live in austin ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( austin , _ ) ) ) )
what states have rivers named colorado ?	answer ( A , ( state ( A ) , loc ( B , A ) , const ( B , riverid ( colorado ) ) ) )
what is the size of texas ?	answer ( A , ( size ( B , A ) , const ( B , stateid ( texas ) ) ) )
what is the shortest river in the usa ?	answer ( A , shortest ( A , ( river ( A ) , loc ( A , B ) , const ( B , countryid ( usa ) ) ) ) )
what are the major cities of the us ?	answer ( A , ( major ( A ) , city ( A ) , loc ( A , B ) , const ( B , countryid ( usa ) ) ) )
which state border kentucky ?	answer ( A , ( state ( A ) , next_to ( A , B ) , const ( B , stateid ( kentucky ) ) ) )
what is the population of oregon ?	answer ( A , ( population ( B , A ) , const ( B , stateid ( oregon ) ) ) )
what states have a city named austin ?	answer ( A , ( state ( A ) , loc ( B , A ) , const ( B , cityid ( austin , _ ) ) ) )
what is the highest elevation in south carolina ?	answer ( A , highest ( A , ( place ( A ) , loc ( A , B ) , const ( B , stateid ( ' south carolina ' ) ) ) ) )
how many people live in austin texas ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( austin , tx ) ) ) )
what are the rivers in the state of texas ?	answer ( A , ( river ( A ) , loc ( A , B ) , state ( B ) , const ( B , stateid ( texas ) ) ) )
what is the lowest point of colorado ?	answer ( A , lowest ( A , ( place ( A ) , loc ( A , B ) , const ( B , stateid ( colorado ) ) ) ) )
what is the population of atlanta ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( atlanta , _ ) ) ) )
what rivers are in utah ?	answer ( A , ( river ( A ) , loc ( A , B ) , const ( B , stateid ( utah ) ) ) )
what river runs through the most states ?	answer ( A , most ( A , B , ( river ( A ) , traverse ( A , B ) , state ( B ) ) ) )
what is the population of sacramento ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( sacramento , _ ) ) ) )
could you tell me what is the highest point in the state of oregon ?	answer ( A , highest ( A , ( place ( A ) , loc ( A , B ) , state ( B ) , const ( B , stateid ( oregon ) ) ) ) )
which states does the mississippi river run through ?	answer ( A , ( state ( A ) , const ( B , riverid ( mississippi ) ) , river ( B ) , traverse ( B , A ) ) )
what are the major cities in the smallest state in the us ?	answer ( A , ( major ( A ) , city ( A ) , loc ( A , B ) , smallest ( B , ( state ( B ) , loc ( B , C ) , const ( C , countryid ( usa ) ) ) ) ) )
how high is guadalupe peak ?	answer ( A , ( elevation ( B , A ) , const ( B , placeid ( ' guadalupe peak ' ) ) ) )
what river runs through illinois ?	answer ( A , ( river ( A ) , traverse ( A , B ) , const ( B , stateid ( illinois ) ) ) )
how long is the mississippi river ?	answer ( A , ( len ( B , A ) , const ( B , riverid ( mississippi ) ) , river ( B ) ) )
how high is the highest point in the largest state ?	answer ( A , ( elevation ( B , A ) , highest ( B , ( place ( B ) , loc ( B , C ) , largest ( C , state ( C ) ) ) ) ) )
